"Id","FNC1","FNC3","FNC7","FNC8","FNC10","FNC11","FNC18","FNC32","FNC33","FNC38","FNC42","FNC50","FNC51","FNC54","FNC56","FNC58","FNC59","FNC60","FNC63","FNC65","FNC67","FNC68","FNC71","FNC73","FNC78","FNC81","FNC84","FNC86","FNC88","FNC89","FNC91","FNC92","FNC95","FNC106","FNC107","FNC108","FNC112","FNC114","FNC128","FNC130","FNC135","FNC136","FNC137","FNC138","FNC139","FNC145","FNC148","FNC155","FNC157","FNC158","FNC161","FNC165","FNC166","FNC167","FNC175","FNC179","FNC182","FNC184","FNC187","FNC189","FNC192","FNC193","FNC194","FNC202","FNC205","FNC207","FNC208","FNC214","FNC217","FNC224","FNC231","FNC232","FNC233","FNC234","FNC238","FNC257","FNC261","FNC270","FNC272","FNC274","FNC277","FNC280","FNC287","FNC289","FNC290","FNC295","FNC298","FNC301","FNC304","FNC307","FNC310","FNC313","FNC317","FNC322","FNC325","FNC330","FNC331","FNC333","FNC336","FNC338","FNC340","FNC342","FNC347","FNC353","FNC366","FNC368","FNC374","SBM_map26","SBM_map40","SBM_map64","SBM_map69","SBM_map73"
120873,0.34312,-0.13112,0.069545,-0.052489,0.47762,0.16525,-0.036653,0.57461,0.21516,0.054857,-0.2755,0.35314,-0.13773,-0.22868,-0.23445,0.020722,-0.068762,-0.21617,-0.21897,-0.40016,-0.19807,-0.37906,-0.50946,0.1015,-0.43355,-0.16441,0.1878,0.20537,-0.028747,0.42068,0.030801,0.061283,0.045847,0.2229,0.12385,-0.029744,0.09547,-0.17648,-0.075781,0.19082,-0.21467,-0.29541,0.33493,-0.070368,0.23369,-0.1377,0.36649,-0.42428,-0.45876,-0.24175,-0.19039,0.11937,0.097888,0.22045,0.025007,0.11984,0.20327,-0.047638,0.32544,0.63662,0.30591,0.22281,0.36049,-0.016668,-0.078186,0.25309,0.59557,0.35192,0.33316,0.38344,0.20218,0.39079,0.078199,0.22887,-0.0021678,0.013302,0.048862,0.098946,0.33195,-0.062953,-0.031816,0.0089194,-0.2452,0.46593,0.42263,-0.082779,-0.21888,0.72687,0.51318,-0.33429,-0.45701,0.55796,0.059832,-0.12545,0.62409,-0.054448,-0.3605,0.26397,0.36713,-0.010244,0.10551,0.43207,0.086159,-0.23049,0.3183,-0.060204,0.34323,-0.179554891820021,0.866064770079709,1.0703631562733,0.776854690820275,1.0835159906041
135376,0.2879,-0.32343,-0.08404,0.038793,0.10169,-0.37634,0.10091,0.19346,0.70298,0.5124,0.19142,0.18153,-0.52077,0.5592,0.51111,0.54449,0.4045,0.29245,0.21547,0.3666,0.099639,0.16781,-0.060866,0.13354,0.20686,0.23248,0.48157,0.72841,0.26052,0.49121,0.43203,0.33091,-0.027191,0.36796,0.42769,0.37345,0.54699,0.4102,0.35083,0.31813,0.091773,0.25,0.17502,-0.1056,0.064784,-0.35736,0.24185,-0.026227,0.20559,0.506,0.31656,0.39938,0.10769,0.18633,0.43201,-0.16068,0.80864,0.53573,-0.078834,0.63934,0.55121,0.63019,0.4377,-0.0065058,-0.44158,0.10115,0.59454,0.26,-0.15671,-0.1657,0.035368,-0.13114,-0.40117,-0.25135,0.21531,0.24015,-0.064519,-0.12755,-0.34756,-0.060623,-0.23094,0.066638,-0.35829,0.20381,0.2003,0.091096,-0.46974,0.39023,0.17528,0.16201,-0.24661,0.62884,0.24157,0.47482,0.54448,0.53622,0.18503,0.44444,-0.18318,0.32862,0.27306,0.56157,0.73134,-0.31699,0.21511,0.3693,0.63005,0.742952144856929,1.15492412216351,0.371700785576966,-0.457550455919982,0.163436355876607
139149,0.24585,-0.12468,-0.13302,-0.035222,-0.045302,-0.027871,0.12281,0.31407,0.51565,0.01874,0.026982,0.24966,-0.10015,0.16783,0.19286,0.19973,-0.12952,0.13336,0.14778,-0.45472,-0.47133,-0.20588,-0.0079204,-0.1989,-0.29473,0.68712,-0.044826,0.38818,0.3895,0.26564,0.3094,0.48965,-0.15332,-0.37748,-0.22952,0.27484,0.36249,0.31529,-0.23187,0.092196,0.10849,0.10568,0.48094,-0.17938,0.1382,-0.3378,0.70103,0.12212,0.088163,0.47643,-0.026141,0.49823,-0.48298,0.15689,0.35752,0.034154,0.32985,0.31862,0.0042136,0.45943,0.62661,0.20664,0.40192,0.17127,0.21947,-0.10645,0.20288,-0.0050388,-0.22802,0.12935,0.44081,0.37022,-0.10328,0.28023,0.048496,0.14437,0.00015805,-0.7148,-0.23627,0.42513,0.34197,0.11008,0.41692,0.61236,0.47997,0.58768,-0.39571,0.57661,0.4725,0.26412,-0.2,0.61023,0.2696,0.3443,0.61241,0.63978,-0.25926,0.48058,-0.059119,0.086045,0.32105,-0.25855,0.72964,-0.17144,-0.15872,0.52133,0.33244,2.03408282012719,0.498361517731076,1.22075552461089,-0.435494132435865,-0.448561695659149
146791,0.4209,0.24453,0.28029,0.28962,0.28634,0.04855,0.15308,0.38055,0.64302,0.57415,0.091637,0.35359,0.59704,0.73811,0.57523,0.44692,0.26196,0.53502,0.26584,0.19882,-0.12732,0.0036315,0.45172,0.31826,0.13414,0.59299,0.61022,0.68903,0.41188,0.23713,-0.081933,0.14695,0.63309,0.12368,0.47944,0.48436,0.0016003,-0.086315,0.42469,0.10318,-0.06156,-0.14919,0.012341,0.19491,0.40322,0.47003,0.29575,0.25518,-0.23742,-0.011988,0.15214,0.15174,0.69036,0.68696,0.6101,-0.054951,0.789,0.55842,0.060892,0.68031,0.32887,0.53049,0.81775,0.27371,0.16586,0.49875,0.43269,-0.10976,0.44906,0.47945,0.23099,0.3901,-0.29025,0.13737,-0.11281,0.45747,0.4499,0.1979,-0.0063019,0.52897,0.36957,0.68015,0.3524,0.11616,0.21509,0.27891,0.19343,0.35347,0.21429,0.2138,-0.048689,0.47866,0.12181,-0.29075,0.32551,0.1845,-0.068786,0.27449,0.11974,0.44839,0.50273,-0.075026,0.6091,0.27329,0.49211,0.14446,0.093171,0.0648527907796997,-0.732960259271825,-0.450725886404264,-1.11582120772836,-0.705539353385501
153870,-0.14621,-0.5288,-0.015192,0.36017,0.024801,-0.031034,0.19112,0.28307,0.25707,-0.23419,-0.28653,0.20471,-0.12838,0.64999,0.66408,0.17135,-0.067335,0.33781,-0.4315,-0.11545,-0.58631,-0.41691,-0.15505,-0.086519,0.60275,-0.0071997,0.35839,0.18955,-0.33072,-0.11463,-0.69712,-0.51566,-0.61492,-0.40058,0.38627,0.16407,-0.06693,-0.69353,-0.2863,0.29317,0.19911,-0.82258,-0.64737,-0.36465,0.0060742,-0.81754,0.092944,0.067589,-0.241,-0.10129,0.31636,0.015609,0.0068476,0.09128,-0.0062465,0.29319,0.20859,0.14052,0.33257,0.42876,0.59814,0.63884,0.31964,0.4573,0.31243,-0.34594,0.49156,-0.2956,0.0036673,-0.022695,-0.23391,-0.42166,-0.15882,-0.2015,-0.087634,0.18608,-0.34405,-0.79587,-0.38961,0.1844,-0.15478,0.70987,-0.18666,0.1104,0.2635,-0.063681,-0.092828,0.031645,0.12363,0.13075,-0.3214,0.82951,-0.70622,-0.076346,0.15078,-0.48556,0.51623,-0.58216,-0.34757,0.044049,0.51207,-0.4538,0.2027,-0.49929,0.44029,-0.17931,0.42508,0.956431276067483,-0.0123885097529947,0.158491726440326,0.795368184238262,2.34038383340522
167403,0.55836,0.35729,0.31844,-0.11029,0.055681,0.071205,0.31318,0.70377,0.84619,0.69635,0.051373,0.50399,0.51127,0.85458,0.68635,0.73374,0.53683,0.63443,0.73935,0.27114,-0.0047268,0.076205,0.2889,0.21759,-0.15771,0.7425,0.73459,0.03952,0.7628,0.43248,0.13288,0.083717,0.40523,0.62714,0.7087,0.61936,0.36301,0.036017,0.46994,0.62539,-0.047412,-0.14318,0.067159,-0.11795,0.44797,0.254,0.70638,0.23065,0.03164,0.11455,0.55504,0.32825,0.30094,0.27305,0.43798,0.19602,0.39341,0.56101,0.40058,0.80831,0.76009,0.75865,0.81209,0.39538,0.2684,0.40688,0.70322,0.38976,0.50613,0.3898,0.22542,0.031299,-0.07627,0.47413,0.60446,-0.0081861,0.020535,0.42616,0.24967,0.61619,0.010777,0.31771,0.12051,0.41027,0.079392,0.50644,0.05432,0.35519,0.0054384,0.037591,0.071284,0.56192,0.12582,0.40925,0.2044,0.3871,0.25591,0.039023,-0.13442,0.17652,0.76245,0.014728,0.41816,0.17972,0.36742,0.4091,0.45713,-0.591006611526044,-1.62904552566195,0.835378139352818,-0.206366107697258,1.2696842938921
179564,0.113,-0.71167,-0.47699,0.3121,0.24793,-0.58607,0.29687,0.46591,0.23023,0.37624,-0.30923,0.050572,0.34027,0.52766,0.20882,0.4776,-0.20824,0.092914,0.24831,0.010289,-0.39534,-0.019875,0.44347,-0.14426,-0.029225,0.50987,0.0090064,0.71231,-0.21185,-0.013199,0.077174,0.49334,-0.26741,-0.29419,-0.055164,-0.235,0.032466,0.079476,-0.081015,-0.21075,-0.39756,-0.1515,0.042462,0.014293,0.25699,0.30465,0.55401,-0.13532,-0.37777,0.17025,0.1723,0.18099,-0.11559,0.14514,0.059439,-0.050187,0.33754,-0.19539,0.35083,0.66817,0.26975,0.40451,-0.11435,0.37938,0.29089,-0.2192,0.62859,0.18656,-0.085897,0.15498,-0.027172,-0.25713,0.11157,-0.1772,0.22668,0.22687,-0.32925,-0.18676,-0.067068,0.051385,-0.39615,0.66427,-0.45834,0.055398,-0.098786,-0.10141,-0.15636,0.30385,0.27949,-0.26434,-0.45241,0.48648,-0.070907,0.27646,0.34444,0.49197,-0.10571,0.48318,0.33529,0.43417,0.58762,-0.12968,0.42264,0.5939,0.6657,-0.2756,0.67375,2.6975932348699,-0.355365452674942,-0.172975075498933,2.04301201177403,-0.113615041632009
179614,0.40232,0.36089,0.033917,0.36813,0.39118,0.4287,0.5221,-0.021392,0.094252,0.013111,0.22585,0.38493,0.23644,0.52365,0.12592,0.40593,0.25872,0.40908,-0.12526,0.18836,-0.044867,0.19458,-0.02354,-0.025858,-0.10818,-0.004364,0.31715,0.32566,0.12104,0.2994,0.16713,-0.38907,-0.33013,0.32352,0.44116,0.10177,0.32823,-0.081487,0.41929,0.22642,0.4129,-0.17686,-0.36647,0.6316,0.42868,-0.17032,0.68963,-0.10842,-0.43895,0.41075,0.35007,-0.32245,-0.34949,0.38738,0.20927,0.20849,0.6396,0.022754,0.15635,0.64657,0.021758,0.3829,0.61587,0.45486,-0.30952,-0.30333,0.238,-0.31765,0.2703,0.16276,0.20595,0.11554,0.28656,0.14139,0.092511,0.087389,-0.22079,-0.0092447,0.34114,0.36837,-0.12035,0.32538,-0.34908,-0.08893,-0.22348,0.52138,-0.18232,-0.2303,0.44399,0.51173,-0.36123,0.009726,-0.55589,-0.18201,0.10282,0.021561,-0.035636,-0.081725,0.24443,0.11194,-0.32106,-0.13175,-0.11608,0.26903,-0.13397,0.18042,0.13141,0.630009212266867,0.223731000011251,1.05067960345636,-0.665785143235893,0.0603982042735691
180172,0.06308,-0.11202,0.29735,-0.1079,0.48136,-0.30596,0.18292,0.31488,0.35068,-0.2498,-0.21268,0.10577,-0.15413,-0.029935,0.0076802,0.016823,0.16509,0.22665,-0.073491,-0.014628,0.10628,0.4098,-0.041078,0.21459,0.063081,0.12404,-0.071296,0.30393,-0.29101,-0.40281,-0.44595,0.28732,0.11075,0.54766,0.12065,-0.071927,-0.50934,-0.6367,0.1046,0.16859,-0.0028453,-0.30393,0.37813,-0.37283,0.19135,-0.23083,0.57114,0.12217,0.21987,0.11749,0.16951,-0.19148,0.23413,0.019847,0.30509,0.39507,0.45982,0.47203,-0.052459,0.64008,0.075176,0.46954,-0.056492,0.27078,-0.5874,0.56054,0.69602,0.06014,0.075966,-0.12266,0.035776,0.11557,-0.19162,-0.11355,0.17775,0.23341,-0.24627,-0.38096,0.03648,0.46699,0.099554,0.094985,-0.17129,0.49024,-0.07145,0.17461,0.46411,-0.36884,0.52794,0.012065,-0.58679,-0.24099,-0.010745,-0.47425,0.57583,0.58473,-0.63446,0.56583,-0.26328,0.25443,0.83014,-0.81855,0.79634,0.097121,-0.053458,0.087334,0.40225,1.37513247151571,0.908197906713545,-0.243907429099339,-1.03712548598918,0.328093706550413
191161,-0.18005,-0.73401,-0.6134,0.25806,0.49175,-0.6489,0.73041,-0.011951,0.404,-0.44862,0.0050578,0.22947,-0.67436,0.62295,0.35875,0.43719,-0.29281,-0.28231,-0.59857,-0.097019,-0.16625,-0.2291,-0.28584,-0.40579,0.39485,-0.10389,-0.53117,0.6251,-0.28451,-0.3139,-0.17476,-0.312,-0.54606,-0.22545,-0.49007,-0.52119,-0.28141,-0.25743,-0.11256,-0.3825,-0.17837,-0.37885,-0.18536,-0.75367,0.34878,-0.32199,-0.0066658,-0.084901,-0.20647,0.28612,0.1543,-0.14663,0.083341,-0.22467,-0.19956,-0.63192,0.32908,0.11705,0.14074,0.38006,0.32139,0.50488,0.26416,0.30921,0.18055,-0.18934,0.51647,0.075396,-0.44399,-0.31432,0.085256,0.4468,0.49773,-0.34907,-0.11778,0.40738,-0.24488,-0.8847,-0.40586,0.1335,0.13212,-0.10797,-0.31231,0.1915,0.27001,0.19449,0.028915,0.48847,0.17527,-0.019147,-0.43427,0.32718,-0.43987,-0.38333,-0.064977,-0.47352,0.16957,-0.36299,-0.2937,-0.22898,0.4092,-0.64314,0.62108,0.17878,0.52516,-0.17494,0.59968,1.00396735788319,1.52262222212427,0.742530906303342,-0.863788587196106,-0.755774545746357
